303	SRP051472	SRR1732023
304	SRP056220	SRR1917025
305	SRP048801	SRR1609536
306	SRP050499	SRR2013469
307	SRP066834	SRR2967339
308	DRP002586	DRR024997
309	SRP007508	SRR314795
310	SRP049238	SRR1622980
311	ERP005641	ERR659307
312	SRP064464	SRR2558141
313	SRP043108	SRR1377173
314	SRP066834	SRR2967333
315	SRP063059	SRR2225749
316	DRP002586	DRR024844
317	SRP056840	SRR1951675
318	SRP002605	SRR057532
319	SRP019810	SRR787306
320	SRP025982	SRR897725
321	SRP006575	SRR191652
322	SRP041675	SRR1270753
323	SRP062010	SRR2143919
324	SRP033135	SRR1033170
325	SRP028282	SRR943909
326	DRP002435	DRR028582
327	SRP043108	SRR1377158
328	SRP006575	SRR191678
329	SRP042161	SRR1295105
330	SRP028291	SRR944082
331	ERP010082	ERR842905
332	SRP042161	SRR1295357
333	SRP041736	SRR1274358
334	DRP002435	DRR028192
335	SRP054971	SRR1802125
336	SRP066834	SRR2967832
337	SRP049713	SRR1648590
338	DRP002435	DRR028384
339	SRP007946	SRR333660
340	SRP057196	SRR1974624
341	SRP041736	SRR1274103
342	SRP006575	SRR191690
343	SRP007825	SRR330899
344	DRP002435	DRR028573
345	SRP066834	SRR2967219
346	SRP050992	SRR1700314
347	SRP041736	SRR1274280
348	SRP033135	SRR1032957
349	SRP033135	SRR1033023
350	DRP002435	DRR028488
351	SRP019272	SRR772623
352	SRP059989	SRR2084709
353	SRP054971	SRR1802126
354	SRP033135	SRR1033207
355	SRP067502	SRR3032313
356	SRP006912	SRR223509
357	SRP040288	SRR1199036
358	SRP066834	SRR2967274
359	SRP006575	SRR191682
360	SRP021193	SRR831022
361	SRP059458	SRR2062356
362	SRP066834	SRR2967105
363	SRP067502	SRR3032259
364	SRP039397	SRR1182606
365	DRP002435	DRR028507
366	SRP059379	SRR2060564
367	SRP059039	SRR2049761
368	SRP059039	SRR2049596
369	SRP041736	SRR1275374
370	SRP049593	SRR1643559
371	SRP041471	SRR1264234
372	SRP049593	SRR1643413
373	SRP041471	SRR1264284
374	SRP041471	SRR1264163
375	SRP041471	SRR1264239
376	SRP050499	SRR2013630
377	SRP050223	SRR1662062
378	SRP061240	SRR2105458
379	SRP033135	SRR1033214
380	SRP050892	SRR1696176
381	ERP004375	ERR659154
382	SRP059039	SRR2049715
383	SRP033135	SRR1033203
384	SRP033566	SRR1044460
385	SRP061240	SRR2105422
386	SRP050499	SRR2013445
387	SRP037778	SRR1168868
388	SRP055918	SRR1850996
389	SRP061881	SRR2138053
390	SRP010181	SRR397229
391	SRP033135	SRR1033268
392	SRP020486	SRR804681
393	SRP066834	SRR2967520
394	SRP059039	SRR2049774
395	SRP050892	SRR1696307
396	SRP033566	SRR1044507
397	SRP008339	SRR346518
398	SRP055918	SRR1851016
399	SRP050892	SRR1696256
400	SRP067502	SRR3028184
401	SRP040288	SRR1199089
402	SRP013935	SRR516209
403	SRP057156	SRR1973524
404	SRP061240	SRR2105487
405	SRP042161	SRR1295208
406	SRP058120	SRR2014590
407	SRP045999	SRR1562737
408	SRP058840	SRR2044047
409	SRP033135	SRR1033258
